Value of root[214]['changeDescription'] changed from "更換部份時間8/8" to "調整名額8/25".
Value of root[214]['restrict'] changed from 50 to 75.
Value of root[214]['remaining'] changed from 0 to 25.
Value of root[788]['selected'] changed from 34 to 33.
Value of root[788]['remaining'] changed from 16 to 17.
Value of root[791]['selected'] changed from 35 to 34.
Value of root[791]['remaining'] changed from 15 to 16.
Value of root[794]['selected'] changed from 34 to 33.
Value of root[794]['remaining'] changed from 16 to 17.
Value of root[797]['selected'] changed from 32 to 31.
Value of root[797]['remaining'] changed from 18 to 19.
Value of root[800]['selected'] changed from 28 to 27.
Value of root[800]['remaining'] changed from 22 to 23.
Value of root[1611]['selected'] changed from 22 to 21.
Value of root[1611]['remaining'] changed from 28 to 29.
Value of root[1623]['selected'] changed from 91 to 90.
Value of root[1623]['remaining'] changed from -11 to -10.
Value of root[1624]['selected'] changed from 91 to 90.
Value of root[1624]['remaining'] changed from -11 to -10.
Value of root[1625]['selected'] changed from 85 to 84.
Value of root[1625]['remaining'] changed from -5 to -4.
Value of root[1626]['selected'] changed from 97 to 96.
Value of root[1626]['remaining'] changed from -17 to -16.
Value of root[1638]['selected'] changed from 106 to 105.
Value of root[1638]['remaining'] changed from 14 to 15.
Value of root[1933]['selected'] changed from 25 to 24.
Value of root[1933]['remaining'] changed from 25 to 26.
Value of root[1934]['selected'] changed from 25 to 24.
Value of root[1934]['remaining'] changed from 25 to 26.
Value of root[1935]['selected'] changed from 25 to 24.
Value of root[1935]['remaining'] changed from 25 to 26.
Value of root[1936]['selected'] changed from 25 to 24.
Value of root[1936]['remaining'] changed from 25 to 26.
Value of root[1937]['selected'] changed from 25 to 24.
Value of root[1937]['remaining'] changed from 25 to 26.
Value of root[2379]['selected'] changed from 0 to 33.
Value of root[2379]['remaining'] changed from 50 to 17.
Value of root[2380]['selected'] changed from 0 to 33.
Value of root[2380]['remaining'] changed from 50 to 17.
Value of root[2381]['selected'] changed from 0 to 75.
Value of root[2381]['remaining'] changed from 80 to 5.
Value of root[2382]['selected'] changed from 0 to 38.
Value of root[2382]['remaining'] changed from 50 to 12.
Value of root[2383]['selected'] changed from 0 to 73.
Value of root[2383]['remaining'] changed from 80 to 7.
Value of root[2384]['selected'] changed from 0 to 38.
Value of root[2384]['remaining'] changed from 50 to 12.
Value of root[2385]['selected'] changed from 0 to 75.
Value of root[2385]['remaining'] changed from 80 to 5.
Value of root[2386]['selected'] changed from 0 to 75.
Value of root[2386]['remaining'] changed from 80 to 5.
Value of root[2387]['selected'] changed from 0 to 38.
Value of root[2387]['remaining'] changed from 50 to 12.
Value of root[2388]['selected'] changed from 0 to 33.
Value of root[2388]['remaining'] changed from 50 to 17.
Value of root[2389]['selected'] changed from 0 to 38.
Value of root[2389]['remaining'] changed from 50 to 12.
Value of root[2390]['selected'] changed from 0 to 73.
Value of root[2390]['remaining'] changed from 80 to 7.
Value of root[2391]['selected'] changed from 0 to 73.
Value of root[2391]['remaining'] changed from 80 to 7.
Value of root[2392]['selected'] changed from 0 to 33.
Value of root[2392]['remaining'] changed from 50 to 17.
Value of root[2393]['selected'] changed from 0 to 33.
Value of root[2393]['remaining'] changed from 50 to 17.
Value of root[2394]['selected'] changed from 0 to 74.
Value of root[2394]['remaining'] changed from 80 to 6.
Value of root[2395]['selected'] changed from 0 to 73.
Value of root[2395]['remaining'] changed from 80 to 7.
Value of root[2396]['selected'] changed from 0 to 75.
Value of root[2396]['remaining'] changed from 80 to 5.
Value of root[2397]['selected'] changed from 0 to 38.
Value of root[2397]['remaining'] changed from 50 to 12.
Value of root[2576]['selected'] changed from 5 to 4.
Value of root[2576]['remaining'] changed from 45 to 46.
Value of root[2767]['selected'] changed from 25 to 24.
Value of root[2767]['remaining'] changed from 25 to 26.
Value of root[2768]['selected'] changed from 25 to 24.
Value of root[2768]['remaining'] changed from 25 to 26.
Value of root[2769]['selected'] changed from 25 to 24.
Value of root[2769]['remaining'] changed from 25 to 26.
Value of root[2770]['selected'] changed from 25 to 24.
Value of root[2770]['remaining'] changed from 25 to 26.
Value of root[2834]['selected'] changed from 5 to 4.
Value of root[2834]['remaining'] changed from 45 to 46.
